interval_start,sales_count,sales_count_percent,total_sales_value,total_sales_percent,avg_sale_value
2024-01-01 00:00:00+00,312,6.08,84964.53,5.81,272.32
2024-02-01 00:00:00+00,333,6.49,89182.82,6.1,267.82
2024-03-01 00:00:00+00,413,8.04,111402.68,7.61,269.74
2024-04-01 00:00:00+00,411,8.01,112508.18,7.69,273.74
2024-05-01 00:00:00+00,412,8.02,116940.04,7.99,283.84
2024-06-01 00:00:00+00,509,9.91,145394.38,9.94,285.65
2024-07-01 00:00:00+00,510,9.93,145947.06,9.98,286.17
2024-08-01 00:00:00+00,511,9.95,144263.85,9.86,282.32
2024-09-01 00:00:00+00,391,7.62,106411.8,7.27,272.15
2024-10-01 00:00:00+00,391,7.62,127358.68,8.7,325.73
2024-11-01 00:00:00+00,391,7.62,108194.86,7.39,276.71
2024-12-01 00:00:00+00,550,10.71,170537.76,11.66,310.07
